Zip (ZCTA),Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Population,Population Density (square miles) ,Housing Units,Median Value of Owner-occupied Units
14428,"$69,930 ","7,439",145.5,"3,224","$163,200 "
14432,"$59,550 ","6,297",163,"2,458","$105,700 "
14433,"$54,542 ","4,350",65.7,"1,751","$83,000 "
14435,"$68,984 ","2,750",75.1,"1,709","$139,400 "
14437,"$49,398 ","11,439",92.2,"4,505","$90,800 "
14441,"$56,250 ",332,946.4,214,"$94,200 "
14445,"$50,259 ","7,875","4,155.00","3,598","$103,500 "
14450,"$83,593 ","41,035","1,290.20","18,018","$196,600 "
14454,"$45,316 ","11,188",221,"3,834","$178,600 "
14456,"$47,522 ","19,201",246.1,"8,329","$114,700 "
14462,"$70,000 ",519,43.3,205,"$132,300 "
14464,"$56,569 ","7,555",247.6,"3,007","$114,600 "
14466,"$70,893 ","1,482",86,854,"$134,600 "
14467,"$69,861 ","10,056",933.4,"4,140","$141,500 "
14468,"$70,090 ","17,789",335.6,"7,280","$145,600 "
14469,"$61,221 ","6,071",92,"2,767","$155,000 "
14470,"$53,824 ","7,548",117.7,"3,435","$103,500 "
14471,"$62,114 ","2,651",97.7,"1,956","$188,400 "
14472,"$88,262 ","8,421",192.6,"3,527","$237,800 "
14475,"$49,750 ",280,183.5,141,"$324,600 "
14476,"$54,803 ","2,274",91.7,"1,049","$115,500 "
14477,"$64,688 ","1,349",51.5,646,"$127,900 "
14478,"$92,981 ","1,526",130.4,633,"$189,900 "
14479,"$67,400 ",146,98.6,102,"$77,000 "
14480,"$45,678 ","1,063",821.4,366,"$124,500 "
14481,"$59,394 ","1,709",71.9,895,"$112,100 "
14482,"$63,162 ","8,189",140,"3,583","$116,000 "
14485,"$59,427 ","3,989",112.9,"1,776","$152,000 "
14486,"$66,708 ",370,65.7,157,"$118,800 "
14487,"$72,000 ","5,910",176.9,"2,773","$160,300 "
14489,"$52,285 ","6,923",102.3,"3,100","$84,200 "
14502,"$69,067 ","10,545",282.7,"4,346","$165,000 "
14504,"$56,279 ","1,873","1,646.10",829,"$94,400 "
14505,"$63,316 ","4,925",124.4,"2,161","$119,100 "
14506,"$133,167 ","1,346",467.2,543,"$244,200 "
14507,"$60,125 ","1,236",37.8,903,"$137,500 "
14510,"$48,272 ","4,772",68.3,"2,074","$89,300 "
14511,"$53,854 ",551,238.4,207,"$113,100 "
14512,"$57,337 ","4,446",43.3,"2,706","$147,000 "
14513,"$45,446 ","13,970",297.8,"6,358","$98,000 "
14514,"$64,112 ","6,821","1,822.10","2,794","$160,400 "
14516,"$61,029 ","2,454",86.6,"1,084","$99,600 "
14517,"$49,395 ","3,063",89.7,"1,360","$91,100 "
14519,"$63,766 ","11,771",288.6,"5,326","$161,800 "
14521,"$49,420 ","2,357",62.4,"1,259","$96,700 "
14522,"$53,259 ","9,231",197.2,"4,323","$127,000 "
14525,"$72,353 ","2,607",57.2,"1,055","$117,600 "
14526,"$78,250 ","20,340","1,215.80","8,589","$196,700 "
14527,"$51,875 ","12,951",95.6,"7,026","$141,500 "
14530,"$52,599 ","5,317",107.9,"2,792","$88,200 "
14532,"$64,583 ","4,389",108,"1,843","$132,100 "
14533,"$54,342 ","2,021",62.9,812,"$116,500 "
14534,"$116,043 ","31,303",968.1,"12,388","$257,800 "
14536,"$45,208 ",561,30.8,329,"$81,200 "
14539,"$54,318 ",171,807.9,60,"$87,100 "
14541,"$58,382 ","4,255",86.4,"1,271","$123,700 "
14543,"$90,057 ","3,360",133.5,"1,284","$185,200 "
14544,"$56,441 ","2,026",71.8,"1,307","$131,800 "
14545,"$49,688 ",180,125.4,94,"$89,600 "
14546,"$67,569 ","4,608",134.9,"2,137","$137,000 "
14548,"$62,557 ","3,764",125.1,"1,673","$110,500 "
14549,"$50,556 ",71,631.8,103,"$202,800 "
14550,"$45,917 ","1,589",79.4,835,"$79,700 "
14551,"$49,010 ","5,426",124.2,"2,502","$89,200 "
14555,"$46,389 ","1,064",339.2,"1,047","$114,300 "
14559,"$80,735 ","18,937",445.4,"7,337","$163,600 "
14560,"$58,750 ","2,142",55.2,"1,115","$132,200 "
14561,"$65,000 ","3,021",58.2,"1,231","$141,200 "
14564,"$96,798 ","15,127",359.3,"6,465","$268,400 "
14568,"$84,750 ","6,065",255.5,"2,265","$145,400 "
14569,"$57,585 ","5,915",77.5,"2,837","$114,000 "
14571,"$55,781 ","1,313",71.5,807,"$120,300 "
14572,"$50,950 ","4,910",65.7,"2,584","$96,700 "
14580,"$80,596 ","52,587","1,234.60","22,352","$190,600 "
14585,"$51,250 ",95,"1,918.40",66,"$37,500 "
14586,"$81,792 ","11,897","1,067.00","4,497","$176,500 "
14588,"$67,750 ",679,"2,819.80",63,"$100,900 "
14589,"$60,945 ","7,426",169.5,"3,285","$136,300 "
14590,"$48,327 ","5,412",80.1,"3,262","$90,500 "
14591,"$59,722 ","1,497",37,718,"$110,600 "
14592,"$57,250 ",192,"1,151.20",102,"$151,600 "
14605,"$21,475 ","12,470","6,899.10","5,302","$53,400 "
14606,"$43,237 ","28,198","2,898.20","12,672","$107,000 "
14607,"$45,315 ","16,750","9,940.00","10,545","$188,700 "
14608,"$21,531 ","12,019","6,871.40","6,358","$91,700 "
14609,"$46,117 ","42,042","5,794.30","19,470","$96,600 "
14610,"$66,767 ","14,050","3,243.00","7,497","$160,100 "
14611,"$25,868 ","16,630","5,745.30","7,869","$54,900 "
14612,"$61,218 ","34,259","2,013.70","15,924","$138,500 "
14613,"$35,259 ","13,578","7,431.70","5,996","$70,400 "
14615,"$39,995 ","16,613","2,876.20","7,747","$90,500 "
14616,"$48,562 ","27,616","4,647.80","12,738","$103,500 "
14617,"$65,522 ","22,589","2,939.20","10,190","$130,800 "
14618,"$98,254 ","22,602","2,336.50","8,703","$197,900 "
14619,"$37,801 ","14,602","10,029.00","6,300","$76,800 "
14620,"$44,167 ","24,542","5,479.90","12,540","$144,400 "
14621,"$26,506 ","33,264","8,067.50","14,664","$58,000 "
14622,"$53,977 ","11,976","2,603.30","5,956","$111,900 "
14623,"$50,199 ","25,917","1,358.00","9,279","$122,900 "
14624,"$69,257 ","35,885","1,285.00","14,831","$132,800 "
14625,"$80,053 ","10,122","1,326.50","4,724","$179,600 "
14626,"$62,550 ","29,901","2,193.30","13,401","$140,900 "
14701,"$38,891 ","39,731",430.1,"19,845","$73,500 "
14706,"$52,708 ","6,189",78.6,"2,968","$98,600 "
14707,"$62,917 ",152,76.4,119,"$67,700 "
14708,"$61,875 ",223,21.3,152,"$51,400 "
14709,"$49,145 ","1,450",28.7,990,"$85,600 "
14710,"$58,004 ","3,268",67.6,"2,118","$89,400 "
14711,"$49,893 ","1,915",47.9,"1,022","$74,100 "
14712,"$57,202 ","3,178",122.1,"2,297","$147,900 "
14714,"$56,250 ",582,32,352,"$95,400 "
14715,"$41,500 ","2,840",65.4,"1,495","$59,600 "
14716,"$37,661 ","2,746",221.5,"1,008","$75,700 "
14717,"$43,875 ",505,18.5,989,"$120,000 "
14718,"$54,375 ","1,988",60.3,914,"$106,300 "
14719,"$46,771 ","3,424",36.3,"1,826","$84,100 "
14720,"$30,521 ",597,"2,438.90",394,"$41,000 "
14722,"$134,135 ",269,808.3,"1,147","$1,009,600 "
14723,"$58,958 ","1,104",25.5,665,"$82,900 "
14724,"$52,778 ","2,361",31.8,"1,545","$111,700 "
14726,"$35,417 ","1,829",45,775,"$79,000 "
14727,"$49,481 ","5,225",48,"3,524","$80,500 "
14728,"$52,232 ","1,033",38.6,999,"$103,600 "
14729,"$63,654 ",897,25.4,497,"$91,300 "
14731,"$64,000 ","1,115",24.3,"2,661","$228,300 "
14732,"$51,429 ",133,59.4,67,"$73,100 "
14733,"$43,839 ","3,844",138.7,"1,741","$79,300 "
14735,"$39,278 ","2,931",35.4,"1,630","$77,200 "
14736,"$54,583 ",270,51.7,159,"$96,300 "
14737,"$46,698 ","4,351",39.5,"2,617","$76,400 "
14738,"$53,400 ","3,247",49.3,"1,917","$89,600 "
14739,"$42,102 ","2,746",34.7,"1,781","$56,100 "
14740,"$56,131 ","1,079",41.4,614,"$95,500 "
14741,"$61,161 ","1,809",29.4,"1,260","$118,800 "
14742,"$100,227 ",276,"1,229.00",78,"$95,800 "
14743,"$41,818 ","1,780",41,965,"$69,400 "
14744,"$56,719 ","2,268",130.1,544,"$108,500 "
14747,"$51,161 ","2,201",50.6,"1,031","$86,800 "
14748,"$33,929 ",619,34.6,291,"$96,800 "
14750,"$55,425 ","4,483",403.9,"2,524","$128,200 "
14753,"$40,341 ","1,148",20.9,564,"$63,200 "
14754,"$47,625 ",594,35.8,379,"$77,100 "
14755,"$50,056 ","3,080",40.9,"1,672","$89,400 "
14756,"$38,650 ",70,510.5,125,"$94,600 "
14757,"$48,162 ","3,298",71.4,"2,590","$112,400 "
14760,"$45,326 ","18,163",286.3,"9,415","$78,600 "
14767,"$49,773 ","2,146",40.2,776,"$94,300 "
14769,"$48,317 ","1,013",111.1,545,"$99,400 "
14770,"$49,355 ","2,777",93.7,"1,354","$86,500 "
14772,"$44,810 ","4,108",55.6,"1,842","$82,400 "
14774,"$65,417 ",74,415.4,26,"$81,800 "
14775,"$47,548 ","2,530",46.8,"1,198","$81,300 "
14777,"$45,662 ",695,48.4,889,"$71,600 "
14779,"$34,777 ","6,785",60.2,"3,340","$73,000 "
14781,"$42,007 ","2,089",28.8,958,"$90,200 "
14782,"$46,641 ","2,435",44.3,"1,124","$79,700 "
14783,"$34,205 ",361,14.5,184,"$76,000 "
14784,"$52,639 ","1,040",35.9,611,"$87,900 "
14787,"$45,042 ","4,739",112.8,"2,565","$84,400 "
14801,"$51,393 ","5,379",49.5,"2,425","$86,400 "
14802,"$36,417 ","4,251","4,086.60",467,"$110,900 "
14803,"$42,321 ",831,33.3,533,"$106,100 "
14804,"$59,605 ","1,402",25.1,920,"$83,700 "
14805,"$48,068 ","1,080",39,491,"$150,600 "
14806,"$53,523 ","2,015",29.3,"1,081","$73,800 "
14807,"$53,992 ","2,946",43.6,"1,405","$89,900 "
14808,"$52,386 ",612,181.6,260,"$68,900 "
14809,"$50,208 ","2,279",40.9,"1,168","$87,100 "
14810,"$41,079 ","12,135",100.5,"6,148","$92,000 "
14812,"$61,643 ","3,366",43.4,"1,420","$93,000 "
14813,"$39,680 ","2,325",38.2,"1,351","$71,600 "
14814,"$79,375 ","1,833",212.9,714,"$167,000 "
14815,"$47,440 ",811,46.8,685,"$120,800 "
14816,"$74,000 ",604,156.9,202,"$95,800 "
14817,"$55,227 ","2,556",63.4,970,"$157,000 "
14818,"$59,886 ","2,129",57.1,"1,124","$155,200 "
14819,"$36,071 ",745,18.1,346,"$84,500 "
14820,"$47,857 ",834,27.1,417,"$91,700 "
14821,"$55,833 ","3,186",58.7,"1,549","$98,600 "
14822,"$48,625 ","1,012",20.5,712,"$71,700 "
14823,"$51,336 ","3,561",45.9,"2,065","$80,500 "
14824,"$41,726 ",471,20.8,252,"$88,600 "
14825,"$75,806 ",749,44.4,379,"$105,400 "
14826,"$50,455 ","2,000",32.9,"1,120","$85,800 "
14827,"$65,429 ",185,"2,055.70",113,"$87,200 "
14830,"$55,967 ","19,772",220,"9,524","$116,100 "
14836,"$90,385 ",834,27.8,473,"$89,500 "
14837,"$54,704 ","5,779",72.5,"3,038","$106,400 "
14838,"$60,368 ","1,786",49.6,840,"$97,800 "
14839,"$52,083 ",782,17.8,469,"$78,400 "
14840,"$55,027 ","2,712",46.1,"2,973","$155,300 "
14841,"$75,074 ",529,27,720,"$214,200 "
14842,"$38,707 ",832,49.7,560,"$136,800 "
14843,"$45,000 ","12,911",128.4,"6,152","$82,000 "
14845,"$64,468 ","20,451",256.2,"9,349","$145,600 "
14846,"$48,977 ",743,21.8,443,"$81,800 "
14847,"$50,430 ","2,395",61.5,"1,334","$114,900 "
14850,"$53,239 ","64,484",511.9,"27,294","$239,700 "
14855,"$55,917 ","1,074",38.3,421,"$98,300 "
14858,"$54,063 ","1,382",38.3,643,"$101,400 "
14859,"$52,083 ",804,25.8,424,"$86,200 "
14860,"$51,786 ","1,182",56.3,932,"$127,300 "
14861,"$46,667 ","1,310",38.3,708,"$99,000 "
14864,"$58,750 ","1,253",100.6,638,"$113,300 "
14865,"$44,208 ","2,981",149.5,"1,357","$109,200 "
14867,"$62,238 ","5,548",82.7,"2,645","$147,800 "
14869,"$53,790 ","1,302",64.6,592,"$118,700 "
14870,"$63,065 ","9,565",156,"4,311","$138,200 "
14871,"$63,790 ","4,879",85.3,"2,120","$154,000 "
14872,"$61,726 ",645,100.3,265,"$127,000 "
14873,"$50,045 ","2,578",34.9,"1,788","$100,000 "
14874,"$41,827 ",216,93.3,245,"$83,300 "
14877,"$58,438 ",465,11,332,"$119,700 "
14878,"$77,083 ",484,30.2,471,"$139,100 "
14879,"$52,656 ","2,090",48.5,"1,019","$96,700 "
14880,"$46,563 ","1,561",28.3,"1,048","$69,000 "
14881,"$117,885 ",324,263.7,136,"$220,000 "
14882,"$78,358 ","4,072",122.6,"1,852","$195,900 "
14883,"$51,028 ","4,670",64.8,"2,211","$148,300 "
14884,"$55,179 ",240,12.5,317,"$80,000 "
14885,"$53,438 ",726,17.3,388,"$121,000 "
14886,"$69,881 ","7,130",91.9,"3,321","$193,300 "
14889,"$59,010 ","1,659",36.9,713,"$101,800 "
14891,"$48,571 ","4,210",80.7,"2,167","$126,600 "
14892,"$44,647 ","8,084",188.5,"3,493","$102,900 "
14894,"$56,364 ","1,253",111.1,578,"$90,500 "
14895,"$45,839 ","9,354",82.4,"5,059","$69,500 "
14897,"$42,463 ",811,31.8,460,"$66,000 "
14898,"$48,750 ","1,950",33.4,794,"$84,000 "
14901,"$30,375 ","15,965",427,"6,192","$77,200 "
14903,"$57,526 ","7,584",363.4,"3,604","$115,200 "
14904,"$45,719 ","15,480","2,756.90","7,352","$72,200 "
14905,"$56,219 ","8,593","2,062.60","4,408","$119,300 "
